arxiv_id,title,abstract,published_date,updated_date,primary_category,categories,authors,doi,journal_reference,pdf_link
2507.13352v1,"Effective field theory for superfluid vortex lattice from coset
  construction","Guided by symmetry principles, we construct an effective field theory that
captures the long-wavelength dynamics of two-dimensional vortex crystals
observed in rotating Bose-Einstein condensates trapped in a harmonic potential.
By embedding the system into Newton--Cartan spacetime and analyzing its
isometries, we identify the appropriate spacetime symmetry group for trapped
condensates at finite angular momentum. After introducing a coarse-grained
description of the vortex lattice we consider a ...",2025-07-17,2025-07-17,cond-mat.quant-gas,"cond-mat.quant-gas,cond-mat.str-el,cond-mat.supr-con,hep-th",Aleksander Głódkowski; Sergej Moroz; Francisco Peña-Benítez; Piotr Surówka,,,http://arxiv.org/pdf/2507.13352v1
2507.13353v1,"VideoITG: Multimodal Video Understanding with Instructed Temporal
  Grounding","Recent studies have revealed that selecting informative and relevant video
frames can significantly improve the performance of Video Large Language Models
(Video-LLMs). Current methods, such as reducing inter-frame redundancy,
employing separate models for image-text relevance assessment, or utilizing
temporal video grounding for event localization, substantially adopt
unsupervised learning paradigms, whereas they struggle to address the complex
scenarios in long video understanding. We propose ...",2025-07-17,2025-07-17,cs.CV,"cs.CV,cs.AI",Shihao Wang; Guo Chen; De-an Huang; Zhiqi Li; Minghan Li; Guilin Li; Jose M. Alvarez; Lei Zhang; Zhiding Yu,,,http://arxiv.org/pdf/2507.13353v1
2507.13351v1,"Challenges for describing unitary evolution in nontrivial geometries:
  pictures and representations","Description of evolution between spatial slices in a general spacetime
suffers from a significant difficulty: the states on the slices, in a given
basis, are not related by a unitary transformation. This problem, which occurs
in spacetime dimensions above two, is directly related to the infinite number
of inequivalent representations of the canonical commutators, and in particular
will arise for interacting theories in time-dependent spacetimes. We connect
different facets of this issue, and dis...",2025-07-17,2025-07-17,hep-th,hep-th,Steven B. Giddings; Julie Perkins,,,http://arxiv.org/pdf/2507.13351v1
2507.13350v1,Hierarchical Rectified Flow Matching with Mini-Batch Couplings,"Flow matching has emerged as a compelling generative modeling approach that
is widely used across domains. To generate data via a flow matching model, an
ordinary differential equation (ODE) is numerically solved via forward
integration of the modeled velocity field. To better capture the multi-modality
that is inherent in typical velocity fields, hierarchical flow matching was
recently introduced. It uses a hierarchy of ODEs that are numerically
integrated when generating data. This hierarchy o...",2025-07-17,2025-07-17,cs.CV,"cs.CV,cs.LG",Yichi Zhang; Yici Yan; Alex Schwing; Zhizhen Zhao,,,http://arxiv.org/pdf/2507.13350v1
2507.13348v1,"VisionThink: Smart and Efficient Vision Language Model via Reinforcement
  Learning","Recent advancements in vision-language models (VLMs) have improved
performance by increasing the number of visual tokens, which are often
significantly longer than text tokens. However, we observe that most real-world
scenarios do not require such an extensive number of visual tokens. While the
performance drops significantly in a small subset of OCR-related tasks, models
still perform accurately in most other general VQA tasks with only 1/4
resolution. Therefore, we propose to dynamically proce...",2025-07-17,2025-07-17,cs.CV,"cs.CV,cs.AI,cs.CL,cs.LG",Senqiao Yang; Junyi Li; Xin Lai; Bei Yu; Hengshuang Zhao; Jiaya Jia,,,http://arxiv.org/pdf/2507.13348v1
2507.13349v1,"The Star Formation History and Evolution of the Ultra-Diffuse M81
  Satellite, F8D1","We present deep HST imaging of one of the nearest ultra-diffuse galaxies
(UDGs) outside of the Local Group: F8D1, a satellite of M81 known to be tidally
disrupting. UDGs are an enigmatic and diverse population, with evolutionary
pathways ranging from tidal processing to bursty feedback and high initial
angular momentum. To determine F8D1's evolutionary drivers, we resolve stars in
F8D1's central $\sim$1 kpc and in a parallel field $\sim$6 kpc along its major
axis to deep photometric limits, reac...",2025-07-17,2025-07-17,astro-ph.GA,astro-ph.GA,Adam Smercina; Eric F. Bell; Benjamin F. Williams; Benjamin N. Velguth; Sarah Pearson; Jeremy Bailin; Tsang Keung Chan; Julianne J. Dalcanton; Roelof S. de Jong; Richard D'Souza; Andrew Dolphin; Puragra Guhathakurta; Kristen B. W. McQuinn; Antonela Monachesi; Colin T. Slater; Elisa Toloba; Daniel R. Weisz; Andrew Wetzel,,,http://arxiv.org/pdf/2507.13349v1
2507.13347v1,$π^3$: Scalable Permutation-Equivariant Visual Geometry Learning,"We introduce $\pi^3$, a feed-forward neural network that offers a novel
approach to visual geometry reconstruction, breaking the reliance on a
conventional fixed reference view. Previous methods often anchor their
reconstructions to a designated viewpoint, an inductive bias that can lead to
instability and failures if the reference is suboptimal. In contrast, $\pi^3$
employs a fully permutation-equivariant architecture to predict
affine-invariant camera poses and scale-invariant local point maps...",2025-07-17,2025-07-17,cs.CV,cs.CV,Yifan Wang; Jianjun Zhou; Haoyi Zhu; Wenzheng Chang; Yang Zhou; Zizun Li; Junyi Chen; Jiangmiao Pang; Chunhua Shen; Tong He,,,http://arxiv.org/pdf/2507.13347v1
2507.13345v1,Imbalance in Balance: Online Concept Balancing in Generation Models,"In visual generation tasks, the responses and combinations of complex
concepts often lack stability and are error-prone, which remains an
under-explored area. In this paper, we attempt to explore the causal factors
for poor concept responses through elaborately designed experiments. We also
design a concept-wise equalization loss function (IMBA loss) to address this
issue. Our proposed method is online, eliminating the need for offline dataset
processing, and requires minimal code changes. In ou...",2025-07-17,2025-07-17,cs.CV,"cs.CV,cs.AI",Yukai Shi; Jiarong Ou; Rui Chen; Haotian Yang; Jiahao Wang; Xin Tao; Pengfei Wan; Di Zhang; Kun Gai,,,http://arxiv.org/pdf/2507.13345v1
2507.13346v1,AutoPartGen: Autogressive 3D Part Generation and Discovery,"We introduce AutoPartGen, a model that generates objects composed of 3D parts
in an autoregressive manner. This model can take as input an image of an
object, 2D masks of the object's parts, or an existing 3D object, and generate
a corresponding compositional 3D reconstruction. Our approach builds upon
3DShape2VecSet, a recent latent 3D representation with powerful geometric
expressiveness. We observe that this latent space exhibits strong compositional
properties, making it particularly well-su...",2025-07-17,2025-07-17,cs.CV,cs.CV,Minghao Chen; Jianyuan Wang; Roman Shapovalov; Tom Monnier; Hyunyoung Jung; Dilin Wang; Rakesh Ranjan; Iro Laina; Andrea Vedaldi,,,http://arxiv.org/pdf/2507.13346v1
2507.13344v1,"Diffuman4D: 4D Consistent Human View Synthesis from Sparse-View Videos
  with Spatio-Temporal Diffusion Models","This paper addresses the challenge of high-fidelity view synthesis of humans
with sparse-view videos as input. Previous methods solve the issue of
insufficient observation by leveraging 4D diffusion models to generate videos
at novel viewpoints. However, the generated videos from these models often lack
spatio-temporal consistency, thus degrading view synthesis quality. In this
paper, we propose a novel sliding iterative denoising process to enhance the
spatio-temporal consistency of the 4D diff...",2025-07-17,2025-07-17,cs.CV,cs.CV,Yudong Jin; Sida Peng; Xuan Wang; Tao Xie; Zhen Xu; Yifan Yang; Yujun Shen; Hujun Bao; Xiaowei Zhou,,,http://arxiv.org/pdf/2507.13344v1
