arxiv_id,title,abstract,published_date,updated_date,primary_category,categories,authors,doi,journal_reference,pdf_link
2507.13287v1,Optimal Empirical Risk Minimization under Temporal Distribution Shifts,"Temporal distribution shifts pose a key challenge for machine learning models
trained and deployed in dynamically evolving environments. This paper
introduces RIDER (RIsk minimization under Dynamically Evolving Regimes) which
derives optimally-weighted empirical risk minimization procedures under
temporal distribution shifts. Our approach is theoretically grounded in the
random distribution shift model, where random shifts arise as a superposition
of numerous unpredictable changes in the data-ge...",2025-07-17,2025-07-17,stat.ME,"stat.ME,cs.LG",Yujin Jeong; Ramesh Johari; Dominik Rothenhäusler; Emily Fox,,,http://arxiv.org/pdf/2507.13287v1
2507.13246v1,"The carbon cost of materials discovery: Can machine learning really
  accelerate the discovery of new photovoltaics?","Computational screening has become a powerful complement to experimental
efforts in the discovery of high-performance photovoltaic (PV) materials. Most
workflows rely on density functional theory (DFT) to estimate electronic and
optical properties relevant to solar energy conversion. Although more efficient
than laboratory-based methods, DFT calculations still entail substantial
computational and environmental costs. Machine learning (ML) models have
recently gained attention as surrogates for D...",2025-07-17,2025-07-17,cond-mat.mtrl-sci,"cond-mat.mtrl-sci,cs.LG",Matthew Walker; Keith T. Butler,,,http://arxiv.org/pdf/2507.13246v1
2507.13122v1,Search for Z/2 eigenfunctions on the sphere using machine learning,"We use machine learning to search for examples of Z/2 eigenfunctions on the
2-sphere. For this we created a multivalued version of a feedforward deep
neural network, and we implemented it using the JAX library. We found Z/2
eigenfunctions for three cases: In the first two cases we fixed the branch
points at the vertices of a tetrahedron and at a cube respectively. In a third
case, we allowed the AI to move the branch points around and, in the end, it
positioned the branch points at the vertices ...",2025-07-17,2025-07-17,math.DG,"math.DG,cs.LG,cs.NA,math.NA,53-08, 53C99",Andriy Haydys; Willem Adriaan Salm,,,http://arxiv.org/pdf/2507.13122v1
2507.13112v1,"Prediction of Highway Traffic Flow Based on Artificial Intelligence
  Algorithms Using California Traffic Data","The study ""Prediction of Highway Traffic Flow Based on Artificial
Intelligence Algorithms Using California Traffic Data"" presents a machine
learning-based traffic flow prediction model to address global traffic
congestion issues. The research utilized 30-second interval traffic data from
California Highway 78 over a five-month period from July to November 2022,
analyzing a 7.24 km westbound section connecting ""Melrose Dr"" and ""El-Camino
Real"" in the San Diego area. The study employed Multiple Li...",2025-07-17,2025-07-17,cs.AI,cs.AI,Junseong Lee; Jaegwan Cho; Yoonju Cho; Seoyoon Choi; Yejin Shin,,,http://arxiv.org/pdf/2507.13112v1
2507.13034v1,"Confidence-Filtered Relevance (CFR): An Interpretable and
  Uncertainty-Aware Machine Learning Framework for Naturalness Assessment in
  Satellite Imagery","Protected natural areas play a vital role in ecological balance and ecosystem
services. Monitoring these regions at scale using satellite imagery and machine
learning is promising, but current methods often lack interpretability and
uncertainty-awareness, and do not address how uncertainty affects naturalness
assessment. In contrast, we propose Confidence-Filtered Relevance (CFR), a
data-centric framework that combines LRP Attention Rollout with Deep
Deterministic Uncertainty (DDU) estimation to...",2025-07-17,2025-07-17,cs.LG,cs.LG,Ahmed Emam; Ribana Roscher,,,http://arxiv.org/pdf/2507.13034v1
2507.13033v1,"(Exhaustive) Symbolic Regression and model selection by minimum
  description length","Symbolic regression is the machine learning method for learning functions
from data. After a brief overview of the symbolic regression landscape, I will
describe the two main challenges that traditional algorithms face: they have an
unknown (and likely significant) probability of failing to find any given good
function, and they suffer from ambiguity and poorly-justified assumptions in
their function-selection procedure. To address these I propose an exhaustive
search and model selection by the ...",2025-07-17,2025-07-17,astro-ph.IM,"astro-ph.IM,astro-ph.CO,astro-ph.GA,cs.LG",Harry Desmond,,,http://arxiv.org/pdf/2507.13033v1
2507.12979v1,"A Distributed Generative AI Approach for Heterogeneous Multi-Domain
  Environments under Data Sharing constraints","Federated Learning has gained increasing attention for its ability to enable
multiple nodes to collaboratively train machine learning models without sharing
their raw data. At the same time, Generative AI -- particularly Generative
Adversarial Networks (GANs) -- have achieved remarkable success across a wide
range of domains, such as healthcare, security, and Image Generation. However,
training generative models typically requires large datasets and significant
computational resources, which are...",2025-07-17,2025-07-17,cs.LG,"cs.LG,cs.AI",Youssef Tawfilis; Hossam Amer; Minar El-Aasser; Tallal Elshabrawy,,,http://arxiv.org/pdf/2507.12979v1
2507.12935v1,"MC$^2$A: Enabling Algorithm-Hardware Co-Design for Efficient Markov
  Chain Monte Carlo Acceleration","An increasing number of applications are exploiting sampling-based algorithms
for planning, optimization, and inference. The Markov Chain Monte Carlo (MCMC)
algorithms form the computational backbone of this emerging branch of machine
learning. Unfortunately, the high computational cost limits their feasibility
for large-scale problems and real-world applications, and the existing MCMC
acceleration solutions are either limited in hardware flexibility or fail to
maintain efficiency at the system ...",2025-07-17,2025-07-17,cs.LG,"cs.LG,cs.AI,cs.AR",Shirui Zhao; Jun Yin; Lingyun Yao; Martin Andraud; Wannes Meert; Marian Verhelst,,,http://arxiv.org/pdf/2507.12935v1
2507.12913v1,"Robust Explanations Through Uncertainty Decomposition: A Path to
  Trustworthier AI","Recent advancements in machine learning have emphasized the need for
transparency in model predictions, particularly as interpretability diminishes
when using increasingly complex architectures. In this paper, we propose
leveraging prediction uncertainty as a complementary approach to classical
explainability methods. Specifically, we distinguish between aleatoric
(data-related) and epistemic (model-related) uncertainty to guide the selection
of appropriate explanations. Epistemic uncertainty se...",2025-07-17,2025-07-17,cs.LG,cs.LG,Chenrui Zhu; Louenas Bounia; Vu Linh Nguyen; Sébastien Destercke; Arthur Hoarau,,,http://arxiv.org/pdf/2507.12913v1
2507.12904v1,An ultra-low-power CGRA for accelerating Transformers at the edge,"Transformers have revolutionized deep learning with applications in natural
language processing, computer vision, and beyond. However, their computational
demands make it challenging to deploy them on low-power edge devices. This
paper introduces an ultra-low-power, Coarse-Grained Reconfigurable Array (CGRA)
architecture specifically designed to accelerate General Matrix Multiplication
(GEMM) operations in transformer models tailored for the energy and resource
constraints of edge applications. ...",2025-07-17,2025-07-17,cs.AR,"cs.AR,cs.AI",Rohit Prasad,,,http://arxiv.org/pdf/2507.12904v1
