arxiv_id,title,abstract,published_date,updated_date,primary_category,categories,authors,doi,journal_reference,pdf_link
2501.00677v1,"Deeply Learned Robust Matrix Completion for Large-scale Low-rank Data
  Recovery","Robust matrix completion (RMC) is a widely used machine learning tool that
simultaneously tackles two critical issues in low-rank data analysis: missing
data entries and extreme outliers. This paper proposes a novel scalable and
learnable non-convex approach, coined Learned Robust Matrix Completion (LRMC),
for large-scale RMC problems. LRMC enjoys low computational complexity with
linear convergence. Motivated by the proposed theorem, the free parameters of
LRMC can be effectively learned via de...",2024-12-31,2024-12-31,cs.LG,"cs.LG,cs.CV,cs.IT,cs.NA,math.IT,math.NA,stat.ML",HanQin Cai; Chandra Kundu; Jialin Liu; Wotao Yin,,,http://arxiv.org/pdf/2501.00677v1
2501.00615v2,"Predicting Barge Presence and Quantity on Inland Waterways using Vessel
  Tracking Data: A Machine Learning Approach","This study presents a machine learning approach to predict the number of
barges transported by vessels on inland waterways using tracking data from the
Automatic Identification System (AIS). While AIS tracks the location of tug and
tow vessels, it does not monitor the presence or number of barges transported
by those vessels. Understanding the number and types of barges conveyed along
river segments, between ports, and at ports is crucial for estimating the
quantities of freight transported on t...",2024-12-31,2025-07-11,cs.LG,cs.LG,Geoffery Agorku; Sarah Hernandez; Maria Falquez; Subhadipto Poddar; Shihao Pang,,,http://arxiv.org/pdf/2501.00615v2
2501.00608v1,"Optimizing Speech-Input Length for Speaker-Independent Depression
  Classification","Machine learning models for speech-based depression classification offer
promise for health care applications. Despite growing work on depression
classification, little is understood about how the length of speech-input
impacts model performance. We analyze results for speaker-independent
depression classification using a corpus of over 1400 hours of speech from a
human-machine health screening application. We examine performance as a
function of response input length for two NLP systems that di...",2024-12-31,2024-12-31,cs.CL,"cs.CL,eess.AS",Tomasz Rutowski; Amir Harati; Yang Lu; Elizabeth Shriberg,,"Proceedings Interspeech, 2019",http://arxiv.org/pdf/2501.00608v1
2501.00595v1,Unbiased GNN Learning via Fairness-Aware Subgraph Diffusion,"Graph Neural Networks (GNNs) have demonstrated remarkable efficacy in
tackling a wide array of graph-related tasks across diverse domains. However, a
significant challenge lies in their propensity to generate biased predictions,
particularly with respect to sensitive node attributes such as age and gender.
These biases, inherent in many machine learning models, are amplified in GNNs
due to the message-passing mechanism, which allows nodes to influence each
other, rendering the task of making fai...",2024-12-31,2024-12-31,cs.LG,"cs.LG,cs.AI",Abdullah Alchihabi; Yuhong Guo,,,http://arxiv.org/pdf/2501.00595v1
2501.00589v1,"Efficient training of machine learning potentials for metallic glasses:
  CuZrAl validation","Interatomic potentials play a vital role in revealing microscopic details and
structure-property relations, which are fundamental for multiscale simulations
and to assist high-throughput experiments. For metallic glasses, developing
these potentials is challenging due to the complexity of their unique
disordered structure. As a result, chemistry-specific interaction potentials
for this important class of materials are often missing. Here, we solve this
gap by implementing an efficient methodolog...",2024-12-31,2024-12-31,cond-mat.mtrl-sci,"cond-mat.mtrl-sci,cond-mat.dis-nn",Antoni Wadowski; Anshul D. S. Parmar; Jesper Byggmästar; Jan S. Wróbel; Mikko J. Alava; Silvia Bonfanti,,,http://arxiv.org/pdf/2501.00589v1
2501.00586v1,"Advanced Lung Nodule Segmentation and Classification for Early Detection
  of Lung Cancer using SAM and Transfer Learning","Lung cancer is an extremely lethal disease primarily due to its late-stage
diagnosis and significant mortality rate, making it the major cause of
cancer-related demises globally. Machine Learning (ML) and Convolution Neural
network (CNN) based Deep Learning (DL) techniques are primarily used for
precise segmentation and classification of cancerous nodules in the CT
(Computed Tomography) or MRI images. This study introduces an innovative
approach to lung nodule segmentation by utilizing the Segme...",2024-12-31,2024-12-31,eess.IV,"eess.IV,cs.CV,cs.LG",Asha V; Bhavanishankar K,,,http://arxiv.org/pdf/2501.00586v1
2501.00575v1,AI and Quantum Computing in Binary Photocatalytic Hydrogen Production,"Photocatalytic water splitting has emerged as a sustainable pathway for
hydrogen production, leveraging sunlight to drive chemical reactions. This
review explores the integration of density functional theory (DFT) with machine
learning (ML) to accelerate the discovery, optimization, and design of
photocatalysts. DFT provides quantum-mechanical insights into electronic
structures and reaction mechanisms, while ML algorithms enable high-throughput
analysis of material properties, prediction of cat...",2024-12-31,2024-12-31,physics.comp-ph,physics.comp-ph,Dennis Delali Kwesi Wayo; Leonardo Goliatt; Darvish Ganji,,,http://arxiv.org/pdf/2501.00575v1
2501.00573v1,"Exploring Quantum-Dot Engineered Solid-State Photon Upconversion in
  PbS:$Yb^{3+},Er^{3+}$/CuBiO Using Density Functional Theory and Machine
  Learning Methods for Water Splitting","This study presents a comprehensive numerical analysis of a
quantum-dot-engineered heterostructure, PbS:$Yb^{3+},Er^{3+}$/CuBiO, optimized
for water splitting applications. Using density functional theory (DFT) coupled
with machine learning, the study explores the electronic, optical, and
catalytic properties of the material. The optimized PbS structure exhibited a
direct bandgap of 1.191 eV, while co-doping with Yb and Er transitioned the
material to a metallic state, enhancing charge carrier m...",2024-12-31,2024-12-31,physics.comp-ph,physics.comp-ph,Dennis Delali Kwesi Wayo; Vladislav Kudryashov; Mirat Karibayev; Gertrude Ellen Fynn; Khadichakhan Rafikova; Camila Martins Saporetti; Leonardo Goliatt; Nurxat Nuraje,,,http://arxiv.org/pdf/2501.00573v1
2501.00558v2,"Matern and Generalized Wendland correlation models that parameterize
  hole effect, smoothness, and support","A huge literature in statistics and machine learning is devoted to parametric
families of correlation functions, where the correlation parameters are used to
understand the properties of an associated spatial random process in terms of
smoothness and global or compact support. However, most of current parametric
correlation functions attain only non-negative values. This work provides two
new families that parameterize negative dependencies (aka hole effects), along
with smoothness, and global o...",2024-12-31,2025-05-29,stat.ME,stat.ME,Xavier Emery; Moreno Bevilacqua; Emilio Porcu,,,http://arxiv.org/pdf/2501.00558v2
2501.00537v1,Extending XReason: Formal Explanations for Adversarial Detection,"Explainable Artificial Intelligence (XAI) plays an important role in
improving the transparency and reliability of complex machine learning models,
especially in critical domains such as cybersecurity. Despite the prevalence of
heuristic interpretation methods such as SHAP and LIME, these techniques often
lack formal guarantees and may produce inconsistent local explanations. To
fulfill this need, few tools have emerged that use formal methods to provide
formal explanations. Among these, XReason...",2024-12-31,2024-12-31,cs.AI,"cs.AI,cs.CR,cs.LG",Amira Jemaa; Adnan Rashid; Sofiene Tahar,,,http://arxiv.org/pdf/2501.00537v1
